directorID,directorName
matty-rich,Matty Rich
steven_spielberg,Steven Spielberg
dominic_sena,Dominic Sena
roger_avary,Roger Avary
daniel_petrie,Daniel Petrie
james_lapine,James Lapine
graham_kitchener,Graham Kitchener
jrichard_benjamin,JRichard Benjamin
stuart_baird,Stuart Baird
nagisa_oshima,Nagisa Oshima
tom_noonan,Tom Noonan
anthony_minghella,Anthony Minghella
mike_leigh,Mike Leigh
michael_tolkin,Michael Tolkin
sally_potter,Sally Potter
jonathan_demme,Jonathan Demme
jane_campion,Jane Campion
stuart_orme,Stuart Orme
mel_smith,Mel Smith
penny_marshall,Penny Marshall
philip_kaufman,Philip Kaufman
fred_dekker,Fred Dekker
peter_medak,Peter Medak
geoffrey_wright,Geoffrey Wright
victor_nunez,Victor Nunez
tim_hunter,Tim Hunter
cyril_collard,Cyril Collard
steven_zaillian,Steven Zaillian
eric_weber,Eric Weber
1059231-john_waters,John Waters
richard_attenborough,Richard Attenborough
gillies-mackinnon,Gillies MacKinnon
yukihiko_tsutsumi,Yukihiko Tsutsumi
philip_jackson,Philip Jackson
steve_rash,Steve Rash
thomas_schlamme,Thomas Schlamme
rowdy_herrington,Rowdy Herrington
ferzan_ozpetek,Ferzan Ozpetek
deran_sarafian,Deran Sarafian
francois_girard,François Girard
andrew_fleming,Andrew Fleming
henry_selick,Henry Selick
george_p_cosmatos,George P. Cosmatos
stanley_kubrick,Stanley Kubrick
pixote-hunt,Pixote Hunt
julie_delpy,Julie Delpy
jennifer_warren,Jennifer Warren
jeff_fisher,Jeff Fisher
todd_solondz,Todd Solondz
claude_berri,Claude Berri
hongjin_na,Hong-jin Na
guillermo_del_toro,Guillermo del Toro
daniel_algrant,Daniel Algrant
pedro_almodovar,Pedro Almodóvar
gurinder_chadha,Gurinder Chadha
andrew_scheinman,Andrew Scheinman
ake-sandgren,Åke Sandgren
eva_sereny,Eva Sereny
lina-wertmuller,Lina Wertmüller
1042523-george_miller,George Miller
ricky_tognazzi,Ricky Tognazzi
michael_austin,Michael Austin
jeffrey_friedman,Jeffrey Friedman
nanni_moretti,Nanni Moretti
betty_thomas,Betty Thomas
ron_clements,Ron Clements
kevin_costner,Kevin Costner
_0000712,Steve Cohen
leslie_h_martinson,Leslie H. Martinson
david_hand,David Hand
gary_trousdale,Gary Trousdale
ben_sharpsteen,Ben Sharpsteen
yuri_mamin,Yuri Mamin
sam_peckinpah,Sam Peckinpah
cm-talkington,C.M. Talkington
jean-bach,Jean Bach
sam_weisman,Sam Weisman
bill_condon,Bill Condon
david_r_ellis,David R. Ellis
gerald_potterton,Gerald Potterton
alan_smithee,Alan Smithee
matt_reeves,Matt Reeves
_1264352,Susanna White
ryan_parrott,Ryan Parrott
franco_brusati,Franco Brusati
fernando_trueba,Fernando Trueba
werner_herzog,Werner Herzog
andre_techine,Andre Techine
vern-oakley,Vern Oakley
_0442455,Mika Kaurismäki
mustafa_adouani,Mustafa Adouani
martin_lawrence,Martin Lawrence
mats_bigert,Mats Bigert
gregory_hoblit,Gregory Hoblit
desmond_gumbs,Desmond Gumbs
bruno_barreto,Bruno Barreto
larry_leker,Larry Leker
hal_salwen,Hal Salwen
jonathan_r_betuel,Jonathan R. Betuel
richard_pearce,Richard Pearce
maria_blom,Maria Blom
jonathan_lynn,Jonathan Lynn
tim_sullivan_iii,Tim Sullivan (III)
jeremiah_s_chechik,Jeremiah S. Chechik
herve_palud,Hervé Palud
_0738001,Carlo Rola
claude_sautet,Claude Sautet
jj_abrams,J.J. Abrams
fridrik_thor_fridriksson,Fridrik Thor Fridriksson
pen_densham,Pen Densham
_0941811,Sönke Wortmann
cheolsu-park,Cheol-su Park
rob_cohen,Rob Cohen
michael_verhoeven,Michael Verhoeven
richard_wherrett,Richard Wherrett
rene_clement,René Clément
kirsten_sheridan,Kirsten Sheridan
paul_mazursky,Paul Mazursky
emir_kusturica,Emir Kusturica
bo_widerberg,Bo Widerberg
alan_mehrez,Alan Mehrez
satyajit_ray,Satyajit Ray
jim_mallon,Jim Mallon
joe_pytka,Joe Pytka
roger_vadim,Roger Vadim
george_hickenlooper,George Hickenlooper
jeanluc_godard,Jean-Luc Godard
bertrand_tavernier,Bertrand Tavernier
jim_jarmusch,Jim Jarmusch
randal_kleiser,Randal Kleiser
michael_blakemore,Michael Blakemore
margarethe_von_trotta,Margarethe von Trotta
norberto_barba,Norberto Barba
eli_cohen,Eli Cohen
robert_mandel,Robert Mandel
michael_winterbottom,Michael Winterbottom
steven-baigelman,Steven Baigelman
zalman_king,Zalman King
stijn-coninx,Stijn Coninx
john_crowley,John Crowley
dean_parisot,Dean Parisot
tinto_brass,Tinto Brass
steve_gomer,Steve Gomer
george_scribner,George Scribner
tom_decerchio,Tom DeCerchio
alan_shapiro,Alan Shapiro
chantal_akerman,Chantal Akerman
betty_kaplan,Betty Kaplan
jeanpaul_rappeneau,Jean-Paul Rappeneau
jack_hill,Jack Hill
manuel_gomez_pereira,Manuel Gomez Pereira
jean_marie_poire,Jean-Marie Poiré
nick_park,Nick Park
brett_thompson,Brett Thompson
lee_seungryeol,Lee Seung-ryeol
robert_singer,Robert Singer
john_schlesinger,John Schlesinger
brothers_quay,Brothers Quay
peter_ofallon,Peter O'Fallon
phil_joanou,Phil Joanou
harvey_miller,Harvey Miller
michele_soavi,Michele Soavi
_0389514,David Hogan
maurice_pialat,Maurice Pialat
mamoru_oshii,Mamoru Oshii
1041838-tom_holland,Tom Holland
rick_friedberg,Rick Friedberg
udayan_prasad,Udayan Prasad
abraham_polonsky,Abraham Polonsky
guy_maddin,Guy Maddin
kevin_james_dobson,Kevin James Dobson
victor_saville,Victor Saville
helena_solberg,Helena Solberg
freida_lee_mock,Freida Lee Mock
joseph_vilsmaier,Joseph Vilsmaier
pete_schuermann,Pete Schuermann
david_keating,David Keating
mary_harron,Mary Harron
charles_matthau,Charles Matthau
_0402383,Chris Hunt
ari_libsker,Ari Libsker
gaston_kabore,Gaston Kaboré
federico_fellini,Federico Fellini
scott_winant,Scott Winant
william_dieterle,William Dieterle
bobby_farrelly,Bobby Farrelly
charles_russell,Charles Russell
_0069833,María Luisa Bemberg
yale_strom,Yale Strom
gyula_gazdag,Gyula Gazdag
gerard_mordillat,Gerard Mordillat
christopher-larkin,Christopher Larkin
david_semel,David Semel
bronwen_hughes,Bronwen Hughes
nicole_holofcener,Nicole Holofcener
eric_rohmer,Eric Rohmer
jay-roach,Jay Roach
kevin_hooks,Kevin Hooks
howard_franklin,Howard Franklin
mitch_marcus,Mitch Marcus
_0375476,Jaime Hellman
arlene_sanford,Arlene Sanford
alex_graves,Alex Graves
manoel_deoliveira,Manoel de Oliveira
john_payson,John Payson
hugh_wilson,Hugh Wilson
nigel_finch,Nigel Finch
kenny_ortega,Kenny Ortega
doug_ellin,Doug Ellin
annette-haywoodcarter,Annette Haywood-Carter
danny_devito,Danny DeVito
diarmuid_lawrence,Diarmuid Lawrence
1047199-tim_pope,Tim Pope
harry_winer,Harry Winer
george_franju,Georges Franju
gilbert_adler,Gilbert Adler
yin_li,Yin Li
yim_ho,Ho Yim
hal_hartley,Hal Hartley
marcus_de_leon,Marcus De Leon
lee_david_zlotoff,Lee David Zlotoff
tran_anh_hung,Tran Anh Hung
maciej-dutkiewicz,Maciej Dutkiewicz
377794703,Sönke Wortmann
lisa_krueger,Lisa Krueger
robert_schwentke,Robert Schwentke
larry_and_andy_wachowski,Larry and Andy Wachowski
arthur_hiller,Arthur Hiller
john-ruane,John Ruane
tsai_mingliang,Tsai Ming-Liang
1045216-jim_mckay,Jim McKay
john_frankenheimer,John Frankenheimer
david_m_evans,David M. Evans
david_koepp,David Koepp
joseph_sargent,Joseph Sargent
1147718-paul_hunter,Paul Hunter
nick_hamm,Nick Hamm
roy_allen_smith,Roy Allen Smith
joe_chappelle,Joe Chappelle
trevor_nunn,Trevor Nunn
1006013-keith_gordon,Keith Gordon
sam_wood,Sam Wood
george_cukor,George Cukor
stanley_donen,Stanley Donen
vincente_minnelli,Vincente Minnelli
blake_edwards,Blake Edwards
alfred_hitchcock,Alfred Hitchcock
frank_capra,Frank Capra
thorold_dickinson,Thorold Dickinson
mark_sandrich,Mark Sandrich
michael_curtiz,Michael Curtiz
john_huston,John Huston
william_wyler,William Wyler
richard_thorpe,Richard Thorpe
orson_welles,Orson Welles
mitchell_leisen,Mitchell Leisen
joseph_l_mankiewicz,Joseph L. Mankiewicz
diane_english,Diane English
george-tillman-jr,George Tillman Jr.
leo_mccarey,Leo McCarey
ernst_lubitsch,Ernst Lubitsch
otto_preminger,Otto Preminger
gregory_la_cava,Gregory La Cava
george_stevens,George Stevens
elia_kazan,Elia Kazan
ws_van_dyke,W.S. Van Dyke
howard_hawks,Howard Hawks
frank_coraci,Frank Coraci
frank_popper,Frank Popper
william_wellman,William A. Wellman
john_cromwell,John Cromwell
archie_mayo,Archie Mayo
henry_koster,Henry Koster
james_edward_grant,James Edward Grant
abbasmustan,Abbas-Mustan
michael_k_harris,Michael K. Harris
george_a_romero,George A. Romero
1094889-richard_brooks,Richard Brooks (VI)
gillo_pontecorvo,Gillo Pontecorvo
frank_borzage,Frank Borzage
corey_yuen,Corey Yuen
nicholas_ray,Nicholas Ray
joshua_logan,Joshua Logan
chris-newby,Chris Newby
richard_schenkman,Richard Schenkman
carroll_ballard,Carroll Ballard
lance_young,Lance Young
ringo_lam,Ringo Lam
amy_holden_jones,Amy Holden Jones
matthew_broderick,Matthew Broderick
stanley_tucci,Stanley Tucci
robert_m_young,Robert M. Young
f_gary_gray,F. Gary Gray
john_herzfeld,John Herzfeld
reb_braddock,Reb Braddock
1047424-john_walsh,John Walsh
1041635-john_gray,John Gray
robert_lieberman,Robert Lieberman
norman_tokar,Norman Tokar
norman_foster,Norman Foster
john_hough,John Hough
robert_stevenson,Robert Stevenson
nancy_meyers,Nancy Meyers
david_swift_ii,David Swift (II)
duwayne_dunham,Duwayne Dunham
brian_robbins,Brian Robbins
ken_annakin,Ken Annakin
bob_spiers,Bob Spiers
richard_fleischer,Richard Fleischer
clarence_brown,Clarence Brown
hamilton_luske,Hamilton Luske
norman_ferguson,Norman Ferguson
harold_d_schuster,Harold D. Schuster
don_chaffey,Don Chaffey
wilfred_jackson,Wilfred Jackson
ted-berman,Ted Berman
matthew_bright,Matthew Bright
robert_wise,Robert Wise
nick_cassavetes,Nick Cassavetes
iara_lee,Iara Lee
tom_hanks,Tom Hanks
michael_pressman,Michael Pressman
1056180-george_pappas,George Pappas
hettie_macdonald,Hettie MacDonald
al_pacino,Al Pacino
steve_buscemi,Steve Buscemi
john_mcnaughton,John McNaughton
vic_armstrong_ii,Vic Armstrong (II)
leon_ichaso,Leon Ichaso
alexandre_tarta,Alexandre Tarta
doug_liman,Doug Liman
michael_cimino,Michael Cimino
tad_stones,Tad Stones
peter_chelsom,Peter Chelsom
josef_von_sternberg,Josef von Sternberg
aaron_kim_johnston,Aaron Kim Johnston
mel_stuart,Mel Stuart
jack_clayton,Jack Clayton
john_cleese,John Cleese
terry_jones,Terry Jones
arthur_penn,Arthur Penn
john_sturges,John Sturges
emile_ardolino,Emile Ardolino
ted_kotcheff,Ted Kotcheff
alan_j_pakula,Alan J. Pakula
sam_henry_kass,Sam Henry Kass
pierre_boutron,Pierre Boutron
geoffrey-g-bowers,Geoffrey G. Bowers
michael_covert,Michael Covert
greg_spence,Greg Spence
amy_heckerling,Amy Heckerling
claude_nuridsany,Claude Nuridsany
alan_taylor,Alan Taylor
abel_ferrara,Abel Ferrara
joe_nussbaum,Joe Nussbaum
benoit_jacquot,Benoît Jacquot
jaco_van_dormael,Jaco Van Dormael
paul_thomas_anderson,Paul Thomas Anderson
milos_forman,Milos Forman
rich_wilkes,Rich Wilkes
1061981-bill_clinton,Bill Clinton
mark_rydell,Mark Rydell
ate_de_jong,Ate de Jong
rupert_wainwright,Rupert Wainwright
joe_dante,Joe Dante
howard_zieff,Howard Zieff
ian_macnaughton,Ian MacNaughton
bruce_labruce,Bruce Labruce
_0382147,Russ Hexter
sharon_pollack,Sharon Pollack
michael_ray_rhodes,Michael Ray Rhodes
tommy_ohaver,Tommy O'Haver
raoul_ruiz,Raoul Ruiz
susan_warms_dryfoos,Susan Warms Dryfoos
_0478286,John L'Ecuyer
leon_gast,Leon Gast
daniel_vigne,Daniel Vigne
brian_yuzna,Brian Yuzna
alfred_l_werker,Alfred L. Werker
anthony_mann,Anthony Mann
vittorio_de_sica,Vittorio De Sica
jean_delannoy,Jean Delannoy
volker_schloendorff,Volker Schlöndorff
martine_dugowson,Martine Dugowson
eric_red,Eric Red
_0414302,Simcha Jacobovici
phillip_rhee,Phillip Rhee
peter_greenaway,Peter Greenaway
michel_blanc,Michel Blanc
marc_caro,Marc Caro
gabriele-salvatores,Gabriele Salvatores
pierre_trividic,Pierre Trividic
errol_morris,Errol Morris
jennie-livingston,Jennie Livingston
lou_adler,Lou Adler
irvin_kershner,Irvin Kershner
mike_nawrocki,Mike Nawrocki
terry_gilliam,Terry Gilliam
sergio_leone,Sergio Leone
bruce_robinson,Bruce Robinson
david_lean,David Lean
robert_mulligan,Robert Mulligan
richard_marquand,Richard Marquand
wim_wenders,Wim Wenders
carol_reed,Carol Reed
jeff_cochran,Jeff Cochran
john_ford,John Ford
andrei_tarkovsky,Andrei Tarkovsky
george_roy_hill,George Roy Hill
hal_ashby,Hal Ashby
bart_freundlich,Bart Freundlich
ingmar_bergman,Ingmar Bergman
bill_forsyth,Bill Forsyth
mcg,McG
tom_stoppard,Tom Stoppard
peter_weir,Peter Weir
james_a_contner,James A. Contner
savage_steve_holland,Savage Steve Holland
fritz_lang,Fritz Lang
francisco-perez-dolz,Francisco Perez Dolz
jeanjacques_beineix,Jean-Jacques Beineix
allan_moyle,Allan Moyle
franklin_j_schaffner,Franklin J. Schaffner
katsuhiro_otomo,Katsuhiro Ôtomo
russell_mulcahy,Russell Mulcahy
stuart_rosenberg,Stuart Rosenberg
1041609-michael_gordon,Michael Gordon
charlie_chaplin,Charles Chaplin
james_algar,James Algar
fred_zinnemann,Fred Zinnemann
godfrey_reggio,Godfrey Reggio
fred_m_wilcox,Fred M. Wilcox
phil_alden_robinson,Phil Alden Robinson
doug_pray,Doug Pray
john_murlowski,John Murlowski
susan_streitfeld,Susan Streitfeld
larry_bishop,Larry Bishop
john_suits,John Suits
herb_gardner,Herb Gardner
carl-prechezer,Carl Prechezer
david_fincher,David Fincher
tony_randel,Tony Randel
1025643-steve_white,Steve White
damiano_damiani,Damiano Damiani
andrew_douglas,Andrew Douglas
tom_berry,Tom Berry
antonio_margheriti,Antonio Margheriti
mitchell-altieri,Mitchell Altieri
daniel_myrick,Daniel Myrick
jeffrey_bloom,Jeffrey Bloom
tod_browning,Tod Browning
dan_curtis,Dan Curtis
paul_schrader,Paul Schrader
fw_murnau,F.W. Murnau
augusto_camintino,Augusto Caminito
bob_rafelson,Bob Rafelson
kevin_spacey,Kevin Spacey
barbara_streisand,Barbara Streisand
lars_von_trier,Lars von Trier
